,year,sic3,phw_wgt,pod_wgt,phd_wgt,sd_phw_wgt,sd_pod_wgt,sd_phd_wgt,phw_adj_K4,phd_adj_K4,pod_adj_K4,sd_phw_adj_K4,sd_phd_adj_K4,sd_pod_adj_K4,phw_adj_tvsCM,phd_adj_tvsCM,pod_adj_tvsCM,sd_phw_adj_tvsCM,sd_phd_adj_tvsCM,sd_pod_adj_tvsCM,phw_adj_teCM,phd_adj_teCM,pod_adj_teCM,sd_phw_adj_teCM,sd_phd_adj_teCM,sd_pod_adj_teCM
0,1974,201.0,44.24787139892578,5.022397994995117,8.79170036315918,1.091060757637024,0.020391784608364105,0.19927966594696045,60.068904876708984,11.744539260864258,5.072693824768066,2.3358359336853027,0.4054522216320038,0.03796285763382912,60.587276458740234,11.585766792297363,5.180488109588623,2.408276319503784,0.4058808386325836,0.04442848265171051,59.41075897216797,11.672974586486816,5.055431365966797,2.359642505645752,0.41866442561149597,0.04023857042193413
1,1975,201.0,44.80582046508789,5.008442401885986,8.921323776245117,1.1346051692962646,0.016773412004113197,0.2084210366010666,55.716976165771484,11.062169075012207,4.990694522857666,1.9840176105499268,0.3573996424674988,0.02716735005378723,54.217891693115234,10.682790756225586,5.0370707511901855,1.8967727422714233,0.3412751257419586,0.0286567285656929,55.827178955078125,11.071784973144531,4.997201919555664,2.0919997692108154,0.37932199239730835,0.027465740218758583
2,1976,201.0,47.58922576904297,5.030876636505127,9.387739181518555,1.6323786973953247,0.026625443249940872,0.2793482542037964,57.75224685668945,11.426451683044434,5.025286674499512,2.13466477394104,0.3969666063785553,0.034341130405664444,56.938106536865234,11.10506534576416,5.092706203460693,2.140350341796875,0.3869940936565399,0.036586593836545944,59.1766471862793,11.725333213806152,5.019437313079834,2.3261208534240723,0.43408170342445374,0.03642307221889496
3,1977,201.0,49.99293899536133,4.96217679977417,9.994391441345215,2.3632593154907227,0.05532537028193474,0.4465315341949463,64.6435317993164,12.853338241577148,4.971453666687012,3.0476443767547607,0.5609185099601746,0.051955241709947586,64.05169677734375,12.640852928161621,4.981960296630859,3.2367658615112305,0.590770959854126,0.058026716113090515,66.25354766845703,13.135501861572266,4.986947059631348,3.2418925762176514,0.5963481068611145,0.046460915356874466
4,1978,201.0,58.13394546508789,5.006618022918701,11.559287071228027,2.019275188446045,0.025298962369561195,0.3841446340084076,62.58395767211914,12.293935775756836,5.018191337585449,2.4595999717712402,0.4310719072818756,0.038037367165088654,60.12505340576172,11.818472862243652,5.041705131530762,2.2809972763061523,0.41779565811157227,0.03359484300017357,63.193458557128906,12.468159675598145,5.009496688842773,2.4687416553497314,0.44672006368637085,0.035242438316345215
5,1979,201.0,53.77460479736328,4.955373287200928,10.648433685302734,1.7410930395126343,0.03342602401971817,0.2910669147968292,62.892066955566406,12.14164924621582,5.093343257904053,1.8087023496627808,0.30851665139198303,0.03323343023657799,62.72565841674805,11.99299144744873,5.10627555847168,1.957815170288086,0.3170441687107086,0.03778786584734917,61.27542495727539,11.93820571899414,5.048810005187988,1.81907057762146,0.3158107399940491,0.03305207937955856
6,1980,201.0,50.99803161621094,4.875439643859863,10.28549861907959,1.7127841711044312,0.036527812480926514,0.2857426404953003,60.89692687988281,11.932783126831055,5.027966499328613,1.8473467826843262,0.3164512813091278,0.03268267586827278,60.620601654052734,11.810905456542969,5.045881271362305,1.9000661373138428,0.31510040163993835,0.035035695880651474,58.60256576538086,11.646018028259277,4.965865612030029,1.7840580940246582,0.3152160346508026,0.031036099418997765
7,1981,201.0,55.570228576660156,4.97227668762207,11.056156158447266,1.8709880113601685,0.03165838122367859,0.32879871129989624,61.9904670715332,12.125609397888184,5.071304798126221,1.7988590002059937,0.3231213092803955,0.027586637064814568,61.734825134277344,12.0077543258667,5.088841438293457,1.8750548362731934,0.326548308134079,0.03113618865609169,61.56358337402344,12.138408660888672,5.0351972579956055,1.8231290578842163,0.3352207541465759,0.02757599763572216
8,1982,201.0,54.02130126953125,4.986005783081055,10.630176544189453,2.349529981613159,0.04874409735202789,0.40137237310409546,59.0970573425293,11.784383773803711,4.972917556762695,2.3614842891693115,0.4396641254425049,0.0405084565281868,61.005123138427734,12.01956844329834,5.0315399169921875,2.4973220825195312,0.4532769024372101,0.03983047604560852,58.12030029296875,11.537705421447754,5.000407695770264,2.392735242843628,0.44507190585136414,0.04023933410644531
9,1983,201.0,50.65689468383789,4.93971586227417,9.841686248779297,2.062133312225342,0.05919476971030235,0.33408430218696594,62.41475296020508,12.079988479614258,5.063154220581055,2.164262056350708,0.37007659673690796,0.04341837018728256,61.36979293823242,11.750955581665039,5.071962356567383,2.201355457305908,0.3784896433353424,0.057774752378463745,62.87563705444336,12.113988876342773,5.044971466064453,2.2860233783721924,0.3929501175880432,0.05454652011394501
10,1984,201.0,64.06503295898438,5.265599727630615,12.048262596130371,1.982825756072998,0.03467341139912605,0.3375791907310486,70.11548614501953,13.475300788879395,5.151577949523926,2.062929153442383,0.37176260352134705,0.03808104246854782,69.86553192138672,13.262734413146973,5.206705093383789,2.1033294200897217,0.3679051399230957,0.04331144317984581,67.25518798828125,12.921366691589355,5.156397342681885,1.9430360794067383,0.346281498670578,0.03698566555976868
11,1985,201.0,61.6071662902832,5.277468681335449,11.471089363098145,2.017413854598999,0.040599651634693146,0.3298969268798828,68.2505874633789,13.04134464263916,5.103142738342285,2.0657660961151123,0.3646076023578644,0.056190915405750275,69.18537139892578,12.989578247070312,5.202925205230713,2.164429187774658,0.3703072965145111,0.055002547800540924,67.46868896484375,12.898393630981445,5.1486921310424805,1.9686017036437988,0.34496358036994934,0.044265709817409515
12,1986,201.0,63.972251892089844,5.151358127593994,11.890695571899414,2.2605433464050293,0.06731951981782913,0.3720634877681732,69.2466049194336,13.169493675231934,5.1164870262146,1.965651273727417,0.33184999227523804,0.057191357016563416,67.79547882080078,12.780451774597168,5.129415035247803,2.034954309463501,0.34724628925323486,0.06381937116384506,68.7583236694336,13.058687210083008,5.146215438842773,1.982153058052063,0.3281073272228241,0.05217811465263367
