,year,phw_wgt,pod_wgt,phd_wgt,sd_phw_wgt,sd_pod_wgt,sd_phd_wgt,phw_adj_K4,phd_adj_K4,pod_adj_K4,sd_phw_adj_K4,sd_phd_adj_K4,sd_pod_adj_K4,phw_adj_tvsCM,phd_adj_tvsCM,pod_adj_tvsCM,sd_phw_adj_tvsCM,sd_phd_adj_tvsCM,sd_pod_adj_tvsCM,phw_adj_teCM,phd_adj_teCM,pod_adj_teCM,sd_phw_adj_teCM,sd_phd_adj_teCM,sd_pod_adj_teCM
0,1974,52.417884826660156,5.037647724151611,10.258682250976562,0.29541724920272827,0.006027644034475088,0.04983511567115784,97.0553970336914,17.57710075378418,5.3841729164123535,0.48371830582618713,0.07021960616111755,0.009357963688671589,89.50476837158203,16.40669822692871,5.312942981719971,0.4785045385360718,0.07082982361316681,0.008865101262927055,81.35157012939453,15.210126876831055,5.221150875091553,0.4593752920627594,0.07159984856843948,0.007984677329659462
1,1975,52.241641998291016,5.046905517578125,10.19835090637207,0.2970901429653168,0.0061334278434515,0.05009259283542633,99.30513000488281,17.64674186706543,5.47662353515625,0.4990554749965668,0.07149461656808853,0.00973429810255766,90.27253723144531,16.381874084472656,5.359899520874023,0.4921072721481323,0.07264062017202377,0.009010166861116886,81.42347717285156,15.07158374786377,5.265339374542236,0.4739511013031006,0.07349573820829391,0.007994821295142174
2,1976,52.905113220214844,5.06266450881958,10.279291152954102,0.3031047284603119,0.005812501069158316,0.050367459654808044,101.01525115966797,17.94053840637207,5.491595268249512,0.49779635667800903,0.07125230133533478,0.009752044454216957,92.4364242553711,16.743051528930664,5.381778240203857,0.4915095269680023,0.07269282639026642,0.008933979086577892,83.52276611328125,15.442414283752441,5.279306411743164,0.4753829538822174,0.0737590491771698,0.008001147769391537
3,1977,55.6083984375,5.08433198928833,10.764586448669434,0.3395005464553833,0.006445090286433697,0.05757565423846245,104.1291732788086,18.439294815063477,5.514242649078369,0.5033432245254517,0.07134115695953369,0.010270069353282452,95.48479461669922,17.24337387084961,5.406185626983643,0.4951648414134979,0.07258421927690506,0.009275844320654869,86.37471008300781,15.91236400604248,5.3009138107299805,0.4860636293888092,0.07488809525966644,0.008318833075463772
4,1978,56.31000518798828,5.057496547698975,10.885063171386719,0.3491172194480896,0.007369142957031727,0.058266110718250275,104.68990325927734,18.3626708984375,5.560076713562012,0.4977588951587677,0.07007361948490143,0.010216429829597473,95.82410430908203,17.238733291625977,5.420020580291748,0.4877929985523224,0.0714140310883522,0.0092402258887887,86.57324981689453,15.8992338180542,5.310811996459961,0.4782622456550598,0.07349546998739243,0.008298875764012337
5,1979,61.38862228393555,5.132678985595703,11.683846473693848,0.38065704703330994,0.006278128828853369,0.06149319186806679,109.3169937133789,18.771684646606445,5.653426647186279,0.5118047595024109,0.06897914409637451,0.010292098857462406,97.78846740722656,17.321517944335938,5.471559047698975,0.5020315051078796,0.07118895649909973,0.009416923858225346,87.04912567138672,15.94621753692627,5.318106174468994,0.4718308746814728,0.07213962823152542,0.008077122271060944
6,1980,60.09725570678711,5.09799337387085,11.500835418701172,0.37876197695732117,0.0067621562629938126,0.0616207979619503,106.38851928710938,18.424972534179688,5.59707498550415,0.5219545364379883,0.07137137651443481,0.010447729378938675,95.56258392333984,17.06096076965332,5.423287868499756,0.5073248147964478,0.07277132570743561,0.009642018936574459,84.8272933959961,15.668891906738281,5.269072532653809,0.47501644492149353,0.07354555279016495,0.00835909228771925
7,1981,58.54072189331055,5.070225715637207,11.25778865814209,0.37995368242263794,0.007277888711541891,0.06165030598640442,106.22161102294922,18.358623504638672,5.578092575073242,0.5416655540466309,0.07353223860263824,0.01163516752421856,95.35284423828125,16.976682662963867,5.417306423187256,0.5225878357887268,0.07426311820745468,0.01053133700042963,84.18321990966797,15.531981468200684,5.252709865570068,0.489966481924057,0.07504083961248398,0.009248224087059498
8,1982,57.60915756225586,5.017058372497559,11.065104484558105,0.39898133277893066,0.009077530354261398,0.06311612576246262,102.27838134765625,17.783809661865234,5.51809549331665,0.5676817297935486,0.07795514166355133,0.012211374938488007,92.94427490234375,16.61501693725586,5.38322639465332,0.5427390933036804,0.0776677131652832,0.010993189178407192,81.02306365966797,15.04990291595459,5.207245349884033,0.5013155341148376,0.07720615714788437,0.009742269292473793
9,1983,59.533355712890625,5.063885688781738,11.428150177001953,0.3960985839366913,0.008026858791708946,0.06513192504644394,104.84082794189453,18.089168548583984,5.577953815460205,0.5660601258277893,0.07718305289745331,0.011989234946668148,95.00988006591797,16.87967300415039,5.427160263061523,0.5447102785110474,0.0777006447315216,0.010869456455111504,83.85405731201172,15.436687469482422,5.264413833618164,0.5047961473464966,0.0774184837937355,0.009499889798462391
10,1984,63.4445915222168,5.15346097946167,11.95071029663086,0.4154556393623352,0.008541974239051342,0.06635825335979462,108.66883087158203,18.678218841552734,5.638324737548828,0.5475017428398132,0.07398506253957748,0.011415974237024784,97.75918579101562,17.288433074951172,5.473389148712158,0.5377832055091858,0.07630055397748947,0.010643472895026207,87.75733947753906,16.026193618774414,5.3248066902160645,0.5087441205978394,0.07737455517053604,0.009465721435844898
11,1985,64.2519760131836,5.151956558227539,12.054994583129883,0.42718610167503357,0.008898512460291386,0.06835688650608063,109.15880584716797,18.739742279052734,5.633396625518799,0.5489769577980042,0.07444687932729721,0.01182984933257103,98.47138977050781,17.35735321044922,5.47446870803833,0.5432101488113403,0.07711302489042282,0.01112485770136118,87.91461181640625,15.990466117858887,5.3283796310424805,0.5144224762916565,0.0781131163239479,0.009753519669175148
